contig_10	VFG000478(gb|NP_459678)	91.304	437	38	0	788374	788810	437	1	5.83e-167	597
contig_10	VFG042001(gb|WP_011004160)	90.476	63	2	4	362942	363001	474	413	2.61e-11	80.5
contig_12	VFG000477(gb|NP_461845)	93.253	993	66	1	85880	86872	2	993	0.0	1461
contig_16	VFG049248(gb|WP_123809090)	100.000	60	0	0	35307	35366	60	1	6.28e-22	111
contig_16	VFG048839(gb|WP_041937831)	97.297	37	1	0	36333	36369	1380	1344	1.78e-07	63.9
contig_16	VFG033146(gb|WP_001521270)	100.000	28	0	0	18600	18627	543	570	3.86e-04	52.8
contig_22	VFG033146(gb|WP_001521270)	100.000	28	0	0	10030	10057	570	543	4.07e-04	52.8
contig_26	VFG049248(gb|WP_123809090)	100.000	60	0	0	12419	12478	1	60	4.17e-22	111
contig_29	VFG033146(gb|WP_001521270)	100.000	28	0	0	13555	13582	543	570	9.81e-05	52.8
contig_31	VFG033845(gb|WP_015675060)	100.000	39	0	0	29339	29377	2736	2774	1.60e-10	73.1
contig_31	VFG033146(gb|WP_001521270)	100.000	28	0	0	30086	30113	543	570	2.08e-04	52.8
contig_32	VFG049248(gb|WP_123809090)	100.000	62	0	0	17764	17825	1	62	1.94e-23	115
contig_33	VFG009609(gb|WP_011893045)	95.745	47	2	0	263345	263391	1058	1012	1.11e-10	76.8
contig_4	VFG049248(gb|WP_123809090)	100.000	61	0	0	16882	16942	1	61	2.77e-22	113
contig_4	VFG033845(gb|WP_015675060)	100.000	39	0	0	105747	105785	2774	2736	4.69e-10	73.1
contig_4	VFG048839(gb|WP_041937831)	97.297	37	1	0	15879	15915	1344	1380	2.83e-07	63.9
contig_5	VFG049248(gb|WP_123809090)	100.000	60	0	0	18077	18136	1	60	1.16e-21	111
contig_5	VFG048839(gb|WP_041937831)	100.000	31	0	0	16083	16113	1350	1380	1.54e-05	58.4
contig_9	VFG033845(gb|WP_015675060)	97.436	39	1	0	300870	300908	2774	2736	6.35e-08	67.6
